"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"1686","YAL017W","0",7,1.15183914121643e-05,2.03136009456772e-05,0.279790546277951,"0",TRUE
"1687","YDR200C","0",16,1.43293120415712e-05,0.000272576075966549,0.277564582553351,"0",TRUE
"1689","YOR080W","0",18,5.00549509124101e-05,2.71041123152674e-05,0.287828787731729,"0",TRUE
"1690","YBR102C","1",37,2.47988885512942e-05,0.000220218217936368,0.307273857631334,"0",FALSE
"1691","YOR141C","0",33,0.000286273760529269,8.53558872276697e-05,0.310247423758958,"0",TRUE
"1692","YKR014C","0",31,3.38604522590038e-05,0.000164606377252283,0.296653828840094,"0",TRUE
"1694","YGR135W","0",62,0.00169357597722005,0.00036401560297308,0.313345308537616,"1",FALSE
"1697","YLR417W","0",29,0.000482281146801304,0.000234147160545676,0.296120625093614,"0",TRUE
"1700","YGL022W","1",49,0.000414573566400136,0.000608619853561829,0.302926605036008,"0",FALSE
"1702","YHR077C","0",37,0.00240487823110959,0.000182705394866043,0.316590156933917,"0",TRUE
"1703","YMR192W","0",10,7.30700176825597e-06,1.61070048897174e-05,0.275348189415042,"0",TRUE
"1706","YJR061W","0",3,8.21145731630479e-08,1.71038346337916e-05,0.202602992416479,"0",TRUE
"1710","YNL084C","0",61,7.46792155010385e-05,0.000544265551679834,0.315966117947898,"0",TRUE
"1711","YLR389C","0",26,0.000506224824296657,0.00119447432980323,0.314925927892529,"0",TRUE
"1713","YKR001C","0",72,0.000337629086347991,0.00169681195446511,0.332921695200674,"0",TRUE
"1714","YKL061W","0",7,3.24089414113005e-07,4.1877297191111e-05,0.23954925481643,"0",TRUE
"1716","YMR231W","0",41,4.97618879151482e-05,0.000197720412885852,0.300501595987232,"0",TRUE
"1717","YOR036W","1",73,5.16757296424945e-05,0.00109098532336994,0.314758796370005,"0",FALSE
"1721","YJL207C","0",13,5.61428761694575e-06,0.000515114033483246,0.266609727591477,"0",TRUE
"1723","YJR152W","0",19,8.16153962626193e-06,0.000200469878773765,0.280253272220385,"0",TRUE
"1725","YKL174C","0",6,5.44897751445919e-07,6.89439591652253e-05,0.240208983030254,"0",TRUE
"1726","YGR261C","0",19,1.33230862416838e-05,3.16860490507641e-05,0.269627676501341,"0",TRUE
"1727","YHL031C","0",47,1.67890490821418e-05,9.37638590031646e-05,0.287034796496153,"0",TRUE
"1729","YCL008C","0",41,0.000983092544389911,0.000978393725358019,0.31224006317452,"0",TRUE
"1730","YJR031C","0",29,2.01056769009585e-05,0.000265520145226938,0.287521815008726,"0",TRUE
"1731","YBR290W","0",16,2.08347948527401e-05,0.000397678918499842,0.298205037960682,"0",TRUE
"1733","YDR166C","1",36,2.06595076324332e-05,7.45096527507456e-05,0.296194566520176,"0",FALSE
