# Name, Essential?, Degree, Eigenvector Centrality, Betweenness Centrality, Closeness centrality
ENSP00000000233, False, 32.0, 4.354401082423508e-05, 7.325374406173062e-05, 0.2695731419551173
ENSP00000379496, False, 34.0, 4.253107242505144e-05, 8.515448642261897e-05, 0.27207476512712697
ENSP00000314067, False, 154.0, 0.004473128993640534, 0.0007844699553081252, 0.33130662613252265
ENSP00000263116, False, 11.0, 4.792325474523541e-06, 9.587463602744606e-06, 0.2347713937469883
ENSP00000361263, False, 51.0, 0.0004450613042394188, 6.033217004293524e-05, 0.3044700952100871
ENSP00000409666, False, 104.0, 0.0024308481138536338, 0.00023482431351053702, 0.3162889275008115
ENSP00000324287, False, 5.0, 4.498757777839924e-06, 2.6081580979578734e-06, 0.24855951023347939
ENSP00000469689, False, 32.0, 6.459752277138787e-05, 7.636384828903715e-05, 0.27835190132916604
ENSP00000333657, False, 62.0, 0.0002668269421845211, 3.371429154953211e-05, 0.2833755303133981
ENSP00000308413, False, 40.0, 0.001172156805671419, 3.5331370321237926e-05, 0.3099042131257951
ENSP00000215095, False, 46.0, 3.7880458464835956e-05, 0.0003140391089259949, 0.2698585950736348
ENSP00000267257, False, 196.0, 0.0016185352694749007, 0.0012988045456935801, 0.3374551825293351
ENSP00000345405, False, 53.0, 0.003625126887229451, 7.885318371755757e-06, 0.29094070535337924
ENSP00000444357, False, 33.0, 0.0014936734420112128, 0.0002612100354539963, 0.3086454257499534
ENSP00000007414, False, 2.0, 5.594707644458965e-06, 1.9277751817006527e-07, 0.2390883898158305
ENSP00000353864, False, 72.0, 0.0005472993233716071, 6.84283089656444e-05, 0.30932551538691366
ENSP00000308897, False, 195.0, 0.054706335291797956, 0.0009274212843467067, 0.31873544861557407
ENSP00000349291, False, 1.0, 4.771635484309996e-07, 0.0, 0.21404297657350338
ENSP00000253401, False, 14.0, 1.9982467483597453e-05, 0.00010773785054581653, 0.26793368378487664
ENSP00000360141, False, 147.0, 0.0003822650210817358, 0.001820141011040138, 0.3151876094071086
ENSP00000312150, False, 10.0, 5.4904601426693375e-05, 2.0740093961033915e-05, 0.2709843118650722
ENSP00000361467, False, 8.0, 4.497257703706951e-05, 5.91373377866669e-05, 0.2799182128493697
ENSP00000360727, False, 3.0, 2.865921142854224e-07, 0.00012112624379944834, 0.21611501780845152
ENSP00000402935, False, 19.0, 1.9154387751169965e-05, 0.00011334136383282126, 0.26057479039184533
ENSP00000357879, False, 155.0, 0.007038389769179687, 0.0009927034460982928, 0.3291342963301476
ENSP00000306881, False, 65.0, 0.0005578650877951063, 0.00019793562974132977, 0.28587946983294216
ENSP00000300026, False, 34.0, 0.00020151523098958197, 0.0003376330312388301, 0.2955449695801888
ENSP00000387176, False, 1.0, 8.057182371300961e-07, 0.0, 0.22397241752298538
ENSP00000437554, False, 4.0, 1.6796984677981929e-06, 0.0004890685297626133, 0.24218898489699842
ENSP00000321348, False, 9.0, 5.497987414820157e-05, 0.00013246108361315625, 0.2818039535912354
ENSP00000276689, False, 108.0, 0.001361317020190732, 0.00010513991711150608, 0.27640119470724667
ENSP00000216373, False, 37.0, 0.00034737516872638684, 9.920647756373852e-06, 0.2983931981121879
ENSP00000377948, False, 1.0, 3.6471454293586e-08, 0.0, 0.19923505286073392
ENSP00000483486, False, 19.0, 1.09917791011677e-05, 6.598104052446072e-05, 0.2470065460835334
ENSP00000379191, False, 15.0, 1.0985945528694898e-05, 8.97226766666663e-05, 0.2607470603976137
ENSP00000312734, False, 44.0, 0.0010251808744163864, 0.0003027886958577271, 0.2914628567406834
ENSP00000307939, False, 37.0, 2.447152663456722e-05, 0.00010999819715295623, 0.27081153544336906
ENSP00000372023, False, 150.0, 0.0020798074372377936, 0.0005872337126992614, 0.3189256834809395
ENSP00000274289, False, 28.0, 0.00038916675527542497, 4.920273328486891e-05, 0.2986191231612345
ENSP00000417573, False, 37.0, 8.310150051599744e-05, 0.0008341642755534582, 0.28363269010153586
ENSP00000260762, False, 45.0, 9.601769410285114e-05, 0.00020405042568880292, 0.2913654512514731
ENSP00000448182, False, 14.0, 1.717708417239977e-05, 3.376169683084917e-05, 0.2657586112849144
ENSP00000402103, False, 60.0, 0.0001519723415675523, 0.00039151862243643506, 0.29438421894437533
ENSP00000349305, False, 34.0, 2.7449028199439658e-05, 0.00019179130453200212, 0.2695863034208899
ENSP00000320295, False, 28.0, 0.00012225225444586173, 8.730652208892303e-05, 0.28714312953942694
ENSP00000375960, False, 81.0, 0.0004186551187195325, 0.0005941475730886021, 0.31036291758004986
ENSP00000466363, False, 70.0, 0.00039180558817136844, 0.00024318719115690805, 0.309163867114595
ENSP00000314214, False, 155.0, 0.0009199808933096783, 0.002828089715443963, 0.3257300167141874
ENSP00000385995, False, 19.0, 0.0008998190497961985, 0.0003489625136477672, 0.2683199429830245
ENSP00000384996, False, 8.0, 1.5691071241829103e-05, 1.974530277605882e-05, 0.2630993789806388
ENSP00000422037, False, 5.0, 4.1749044822503435e-06, 2.603411163511767e-05, 0.229108461729966
ENSP00000419361, False, 73.0, 0.00016504676018504332, 0.0003257203072334939, 0.2968797605606036
ENSP00000261837, False, 111.0, 0.0006225884961061541, 0.0010486066617548114, 0.3154697289988383
ENSP00000259351, False, 1.0, 3.1266532772462514e-07, 0.0, 0.2106113004119412
ENSP00000264454, False, 33.0, 5.9817892338156844e-05, 8.68827617523697e-06, 0.26519699662200025
ENSP00000362413, False, 49.0, 0.00144563632181924, 0.0002915118527036699, 0.3060734280593485
ENSP00000313854, False, 7.0, 4.243056218091112e-05, 7.630019194522051e-05, 0.2755139378617524
ENSP00000357475, False, 3.0, 6.315135976357993e-08, 7.442101151729465e-07, 0.20694092220820268
ENSP00000272233, False, 58.0, 0.00025859085174768904, 0.00017148935849132862, 0.3055202050941552
ENSP00000427463, False, 15.0, 0.0008360963666456447, 2.7991067017126884e-05, 0.2672420746954908
ENSP00000373905, False, 93.0, 0.0007824413701387744, 0.0007380361356911716, 0.3228793076563231
ENSP00000267584, False, 22.0, 0.0001102469597996437, 1.0552622671333362e-05, 0.2698454070079984
ENSP00000321537, False, 17.0, 7.256830108954142e-05, 0.00013031696872238614, 0.2751524010431374
ENSP00000227756, False, 19.0, 1.0392245468638242e-05, 7.39847881694208e-07, 0.24896296741613563
ENSP00000381535, False, 4.0, 7.989332708998368e-06, 0.00013040410865930343, 0.2392334132462956
ENSP00000306752, False, 7.0, 2.297249530441486e-05, 6.239154922367121e-06, 0.25273098986940074
ENSP00000272322, False, 38.0, 1.8713651303058518e-05, 5.425491394328479e-05, 0.2640093076628841
ENSP00000044462, False, 128.0, 0.007500552797917573, 0.0005526329435449413, 0.322282534679663
ENSP00000341247, False, 22.0, 0.0034230767240676337, 1.0746010606809383e-05, 0.27474167813842404
ENSP00000447942, False, 72.0, 0.010457751513655744, 0.0002922667051969372, 0.305368137742875
ENSP00000319096, False, 12.0, 2.4038800938979093e-05, 3.201083506496794e-05, 0.26327500437069884
ENSP00000373215, False, 8.0, 1.2464756600072329e-05, 3.1997272040108964e-05, 0.2569412129672716
ENSP00000387307, False, 5.0, 4.0227560196122274e-06, 9.919086149686452e-07, 0.24128237247647624
ENSP00000476145, False, 4.0, 7.932858207320115e-05, 5.450844569560035e-06, 0.28260201992629996
ENSP00000243298, False, 24.0, 8.795146660542322e-06, 2.5805606810783537e-05, 0.24946162070990768
ENSP00000398803, False, 3.0, 2.0531020000431446e-07, 0.0, 0.20968354430379746
ENSP00000306330, False, 96.0, 0.0012077503918975037, 0.0004897181681508917, 0.32695799778935736
ENSP00000359370, False, 15.0, 4.4529561398354155e-05, 6.038099515169518e-07, 0.25997363382403715
ENSP00000302895, False, 12.0, 8.430322723839535e-05, 5.769686388617884e-06, 0.2853918646520683
ENSP00000376293, False, 4.0, 6.785601281006111e-06, 4.811602102728226e-06, 0.24664979154258487
ENSP00000296518, False, 25.0, 6.0160703354304215e-05, 4.764341420585761e-05, 0.26795968876882514
ENSP00000234454, False, 20.0, 2.0035706637833433e-05, 5.8245217139946156e-05, 0.2717132781103912
ENSP00000376333, False, 16.0, 5.358227577384222e-05, 7.445183756190057e-06, 0.2737518798235032
ENSP00000303830, False, 77.0, 0.00068044420994082, 0.00010240041081062484, 0.31610785642043393
ENSP00000400175, False, 372.0, 0.0029584675758187722, 0.01063351219593334, 0.3613340895209842
ENSP00000355759, False, 144.0, 0.0026790946361941285, 0.0011326107902025569, 0.3350390356377169
ENSP00000216181, False, 89.0, 0.0003496793541316705, 0.0004538183375258552, 0.3100724407090579
ENSP00000336799, False, 65.0, 0.0013645408911810394, 0.0003544142454029981, 0.3020109755875221
ENSP00000387286, False, 108.0, 0.0002262201130568783, 0.0013813441513002862, 0.30141198733578367
ENSP00000361892, False, 28.0, 9.864961460231076e-05, 0.0001952212907057404, 0.28232266421242797
ENSP00000339467, False, 25.0, 0.0001511376059418139, 4.492570471696049e-05, 0.2932688903052192
ENSP00000331342, False, 11.0, 6.235718641258968e-06, 1.486420924315483e-05, 0.25015478941089414
ENSP00000460380, False, 8.0, 6.0965249484006015e-05, 1.2660833183038187e-05, 0.26815488716935926
ENSP00000264161, False, 33.0, 0.0014964270967285193, 3.3840014387663324e-05, 0.2723207680547107
ENSP00000427114, False, 33.0, 0.00014233938898845818, 2.8391389656525246e-05, 0.2937942287568948
ENSP00000258787, False, 10.0, 8.78127395823872e-05, 0.00013209282762134542, 0.28203905811043195
ENSP00000311962, False, 17.0, 6.689549303045086e-05, 4.902856475228592e-05, 0.2791305080461707
ENSP00000334448, False, 152.0, 0.0010547801231264343, 0.0016759681907512326, 0.3264682696097753
ENSP00000263334, False, 24.0, 0.00011648338368806704, 0.00027379559943567516, 0.2926885292246802
ENSP00000466898, False, 17.0, 1.2055888658070446e-06, 8.509952835057146e-05, 0.22794825925416265
ENSP00000348349, False, 7.0, 2.612039950519783e-05, 0.0, 0.25813841143195526
ENSP00000295256, False, 102.0, 0.0007886245421706151, 0.00266666575431172, 0.330678324749471
ENSP00000363988, False, 55.0, 0.00018106059672361413, 8.205633628821805e-05, 0.2862747131204203
ENSP00000445359, False, 5.0, 5.252915715899573e-06, 6.843278616590043e-05, 0.24641130531796207
ENSP00000442046, False, 7.0, 4.631579578000926e-06, 0.00013078052868678556, 0.24170132049317866
ENSP00000272427, False, 17.0, 1.8878396746681282e-05, 7.110489592346335e-06, 0.25880386213792456
ENSP00000358474, False, 99.0, 0.0037338799924033646, 0.00027744248255480956, 0.30675925925925923
ENSP00000312224, False, 3.0, 3.379973270054621e-05, 3.4136625474762466e-06, 0.22857418829600806
ENSP00000471735, False, 29.0, 0.0020327296737365393, 4.3473081179795184e-07, 0.27251340769256077
ENSP00000233078, False, 8.0, 1.6838370266210823e-05, 0.00023719994693957778, 0.2379994540308329
ENSP00000264183, False, 58.0, 0.0010163352641058053, 9.344214360787417e-06, 0.2807436783946851
ENSP00000346921, False, 34.0, 0.0002352485002048977, 0.00018592452131632655, 0.28293024526883925
ENSP00000349960, False, 445.0, 0.008584318123429331, 0.016021496954832175, 0.3802888036915448
ENSP00000380432, False, 272.0, 0.0019439641954013213, 0.008370700560639311, 0.35359788246846113
ENSP00000376306, False, 25.0, 0.00013579379703971718, 8.450984605367192e-05, 0.28608683637870885
ENSP00000466248, False, 3.0, 1.3988053204624755e-05, 7.049027244630072e-08, 0.24689609944405527
ENSP00000339191, False, 199.0, 0.0017512934897772417, 0.00516820940067753, 0.35321335664633885
ENSP00000299705, False, 19.0, 3.0435205482535e-05, 6.254341828218918e-06, 0.2517898128866528
ENSP00000442307, False, 5.0, 6.64474142287984e-07, 0.00041603283952012534, 0.22138026889049262
ENSP00000375682, False, 6.0, 9.740130062263163e-06, 9.24444124336575e-05, 0.24479451447487033
ENSP00000377280, False, 5.0, 2.342421539264925e-05, 2.279887611389304e-05, 0.26476887667028964
ENSP00000377275, False, 37.0, 0.00011471387046917443, 0.00019536341867783455, 0.2886089622970242
ENSP00000262812, False, 44.0, 0.00021947406966337668, 0.0002516053019071599, 0.2833852259896671
ENSP00000482306, False, 29.0, 0.0010925510698244622, 9.137571314331197e-05, 0.27256721624378843
ENSP00000215659, False, 111.0, 0.0009714446819905562, 0.00044140026287244505, 0.32632035143707033
ENSP00000360985, False, 12.0, 6.757271682486293e-05, 0.00013936073936109637, 0.2861807439144481
ENSP00000290158, False, 127.0, 0.012261384028908395, 0.0008099075337870544, 0.3200100455915308
ENSP00000397459, False, 12.0, 3.5445432401022205e-05, 1.5453571430601626e-06, 0.2628864343299689
ENSP00000287394, False, 53.0, 0.0007897985173807723, 2.6814307846684035e-05, 0.29512373282973153
ENSP00000262746, False, 41.0, 0.0004676629661989911, 0.0005043946630041495, 0.3136538352299623
ENSP00000356702, False, 24.0, 6.09260843383318e-06, 7.692717842590818e-05, 0.24165195699426686
ENSP00000354040, False, 250.0, 0.061447109716879146, 0.002221361125925946, 0.3197752982510328
ENSP00000219479, False, 43.0, 0.00029354450701202174, 0.00014771430688442617, 0.28144963979883103
ENSP00000158762, False, 11.0, 3.2188491128258705e-05, 0.0001846907828289186, 0.2764150313709785
ENSP00000449270, False, 36.0, 0.00011724392728850672, 6.851169872882259e-05, 0.279956058813588
ENSP00000351777, False, 195.0, 0.005291750920860963, 0.005498826118610436, 0.340976925135341
ENSP00000264335, False, 134.0, 0.001643684333072635, 0.0016899090061238224, 0.3349712852867427
ENSP00000311430, False, 241.0, 0.07475663147742424, 0.00035190640948860435, 0.3199235196415466
ENSP00000357883, False, 66.0, 0.00043568219117537805, 0.00017418936749526704, 0.31071803721488594
ENSP00000480707, False, 23.0, 3.163239543589718e-05, 0.00012620322004895096, 0.25909936965260505
ENSP00000267484, False, 10.0, 6.029012600194216e-06, 0.00016352917517776478, 0.2433023911638564
ENSP00000416097, False, 71.0, 0.00019520226007066968, 0.0005695116031110856, 0.2986460417906142
ENSP00000361473, False, 65.0, 0.0021014583569264338, 8.707442119158253e-05, 0.3020715562201393
ENSP00000265709, False, 37.0, 6.145987947567326e-05, 0.00018926992920705716, 0.2860423753691009
ENSP00000342136, False, 32.0, 0.0002503394101921534, 0.0005259356342191477, 0.29799597035331366
ENSP00000433102, False, 4.0, 5.657829160176872e-06, 1.0028915615389242e-05, 0.24822429346360175
ENSP00000300574, False, 152.0, 0.0012215910404912392, 0.0007698830438477608, 0.32252725856697817
ENSP00000320866, False, 90.0, 0.0015413086583287, 0.0017832559349096784, 0.3252120307837286
ENSP00000334100, False, 59.0, 0.00014014051558741022, 0.0004903703195735785, 0.3007825976431282
ENSP00000263245, False, 35.0, 0.0001269427186364257, 7.876292367518471e-05, 0.29434760203990973
ENSP00000222803, False, 12.0, 0.00024430871412499047, 7.875402363018713e-05, 0.2630074782084054
ENSP00000217182, False, 54.0, 0.012675249689297858, 0.000563548942846621, 0.3050026698090626
ENSP00000346599, False, 2.0, 2.968020970946567e-07, 1.7357436447644318e-07, 0.20788364037949902
ENSP00000354837, False, 45.0, 0.00030682257113736586, 0.00011843642384684577, 0.3014284414520972
ENSP00000300093, False, 247.0, 0.0027935968612220665, 0.003398458644704451, 0.33908540080242366
ENSP00000452762, False, 48.0, 0.00045164137146854583, 0.0004886867200605698, 0.28474430597335626
ENSP00000325074, False, 84.0, 0.0005998231119564974, 0.0003482878002651019, 0.3136300812238484
ENSP00000280700, False, 18.0, 0.0013857142638380867, 0.00011212291835403047, 0.2864034026072824
ENSP00000283195, False, 145.0, 0.0019662687752607312, 0.0008072245373551761, 0.3228478434582627
ENSP00000483965, False, 1.0, 4.7221328948995595e-11, 0.0, 0.1528658305879313
ENSP00000475168, False, 18.0, 8.317758491286889e-05, 0.00011851909286729954, 0.26638256814344297
ENSP00000265462, False, 18.0, 0.00012731881257056204, 9.937072308104433e-06, 0.2775125228258867
ENSP00000255194, False, 58.0, 0.0001570967916717913, 0.00041818035083316226, 0.29835020352292785
ENSP00000278572, False, 290.0, 0.0774413236168884, 0.0012867115461201036, 0.3320770603211515
ENSP00000371230, False, 55.0, 0.00021440976830771436, 0.00012773151121100304, 0.2796819072060512
ENSP00000336994, False, 1.0, 1.1660970885380215e-06, 0.0, 0.22630090575007855
ENSP00000327145, False, 35.0, 9.329491460768929e-05, 0.0003423623817131734, 0.28406070479293494
ENSP00000251047, False, 66.0, 0.0005172464843441584, 0.0005201118298401836, 0.29298360423778275
ENSP00000296526, False, 95.0, 0.00034609941435459436, 0.0021269910285010773, 0.3166940695140137
ENSP00000409382, False, 8.0, 8.4354742712795e-06, 9.162611452682745e-06, 0.25261151353412126
ENSP00000381293, False, 75.0, 0.000170583385058234, 0.0004696371515336237, 0.2930043335986557
ENSP00000217133, False, 43.0, 0.00038665078424387616, 0.00019450772750232099, 0.28434351236761246
ENSP00000442382, False, 13.0, 0.00015386757122732808, 1.1077083353153582e-05, 0.29224445150135847
ENSP00000294016, False, 67.0, 0.00015397272645889393, 0.00012886101815456856, 0.2883376849434291
ENSP00000440005, False, 136.0, 0.00046936523649723305, 0.002078523947667923, 0.31837401499135115
ENSP00000270747, False, 1.0, 9.381161482917128e-07, 0.0, 0.22472291183373352
ENSP00000269980, False, 27.0, 2.9377179331749896e-05, 3.771390221326516e-05, 0.24877975520012013
ENSP00000383234, False, 10.0, 0.00012611790068347862, 2.6553354732430585e-05, 0.2806675703151474
ENSP00000250617, False, 51.0, 0.0003501674407033902, 3.136613465014294e-05, 0.29738609026605867
ENSP00000324792, False, 7.0, 9.52112661554478e-05, 6.838835317100304e-06, 0.27562854623205046
ENSP00000309591, False, 242.0, 0.001616856561338914, 0.004392440457242832, 0.34700546745710875
ENSP00000351015, False, 116.0, 0.004540876724111615, 0.0007940396258204568, 0.3356024230636763
ENSP00000371070, False, 4.0, 2.0872163277544712e-07, 5.640679549242542e-06, 0.21631539084332316
ENSP00000375649, False, 1.0, 1.750723182671805e-09, 0.0, 0.17982175229865718
ENSP00000439189, False, 1.0, 8.057182371300961e-07, 0.0, 0.22397241752298538
ENSP00000270176, False, 20.0, 0.00021946673243235094, 9.971536732087577e-05, 0.273548451020543
ENSP00000358723, False, 121.0, 0.0010112136205988156, 0.0009915279278569155, 0.3243079212185285
ENSP00000428209, False, 115.0, 0.002878145346967596, 0.00026588737380308617, 0.31054910856564366
ENSP00000285518, False, 35.0, 9.85117354027538e-06, 2.7202081251673268e-05, 0.25661482215887965
ENSP00000265069, False, 3.0, 2.7374014812103478e-05, 2.772830172486212e-06, 0.2385821895118895
ENSP00000382492, False, 3.0, 8.369164678291781e-06, 8.552402604103648e-07, 0.24890685339063276
ENSP00000225235, False, 3.0, 0.00021472205491469455, 6.978547280723081e-06, 0.22511381395664878
ENSP00000300176, False, 2.0, 1.779466221595179e-05, 0.0, 0.24221023234051264
ENSP00000478479, False, 35.0, 7.42972894241461e-05, 0.000150283136470999, 0.27441852759923135
ENSP00000460964, False, 8.0, 0.00016800842196830837, 0.00018056182435125323, 0.25082523242784893
ENSP00000281589, False, 16.0, 0.0004958037272218027, 2.272170444626683e-05, 0.27005657086030094
ENSP00000324527, False, 9.0, 6.990623037277164e-05, 0.000132296314612281, 0.2788110346220524
ENSP00000264071, False, 59.0, 0.0007944771783264839, 0.0006877199388691882, 0.3007716749886518
ENSP00000268057, False, 37.0, 0.001143062165342037, 0.00017233375104432587, 0.2819718453708274
ENSP00000325002, False, 45.0, 9.981293658853577e-05, 0.0001133402716172988, 0.2743367228644298
ENSP00000378669, False, 67.0, 0.00026997624347831943, 0.0005919134903667986, 0.3026897635493184
ENSP00000443246, False, 5.0, 7.32045101138801e-06, 2.2888620053441216e-08, 0.2302005308578496
ENSP00000377086, False, 2.0, 4.106848462944322e-09, 0.00012073649260488983, 0.18313783153309526
ENSP00000272238, False, 54.0, 0.00042115965117040655, 0.00014606870036731927, 0.2718515114714281
ENSP00000303437, False, 23.0, 1.580160668960534e-05, 1.3228467187437317e-05, 0.25207718294427367
ENSP00000262719, False, 20.0, 0.00021871891333567078, 3.537036986819878e-05, 0.29038478394250156
ENSP00000300249, False, 27.0, 0.00014329152940252126, 0.00019841120343863167, 0.2774567442172085
ENSP00000413697, False, 12.0, 0.001149721201916634, 0.0001080461983200048, 0.28746702762737747
ENSP00000354080, False, 1.0, 9.609869404239447e-08, 0.0, 0.2051520217970153
ENSP00000352995, False, 7.0, 2.7161299889776938e-05, 3.5189850895969504e-06, 0.2712949769894692
ENSP00000349503, False, 5.0, 1.6274736839410908e-05, 8.460077267578368e-06, 0.23834875321947077
ENSP00000265717, False, 87.0, 0.0004984326275386633, 0.001225741721049029, 0.32266547197008066
ENSP00000362590, False, 2.0, 1.7089024225604306e-06, 0.00012073649260488983, 0.2142450658320184
ENSP00000395083, False, 10.0, 1.2100343474762476e-05, 6.292461018996505e-05, 0.25711270119670326
ENSP00000362115, False, 52.0, 0.00014005970560186052, 9.778133551404168e-05, 0.28590907521833686
ENSP00000348429, False, 24.0, 1.91960038060588e-05, 4.308507770618123e-05, 0.2581786443478125
ENSP00000365773, False, 16.0, 4.639231618199134e-05, 4.035343344482338e-05, 0.2657287689691681
ENSP00000350012, False, 23.0, 1.5609184491004e-05, 2.6111380375693743e-05, 0.2556051043868718
ENSP00000261636, False, 24.0, 1.3266210872526041e-05, 5.494718865425853e-05, 0.25713265654590045
ENSP00000296271, False, 69.0, 0.0014892016931247988, 0.001369847259742686, 0.3082319228908489
ENSP00000468424, False, 5.0, 2.474690435918794e-05, 4.2004528458058176e-05, 0.26624983926964124
ENSP00000333037, False, 4.0, 5.436652218763937e-07, 9.383937904773348e-05, 0.21849814675583343
ENSP00000363970, False, 63.0, 0.0002975831567829045, 0.0002647115427681712, 0.3021762527590799
ENSP00000280333, False, 47.0, 0.0005541408004406866, 0.0006046694330446809, 0.3061752583036061
ENSP00000399970, False, 58.0, 0.0011942701701376812, 0.00010511655954219889, 0.2968797605606036
